slice,rho,typing,distractor,true_rho,implied_rho,se,ci95,gap,r2,mae,n_participants,n_trials
overall,,,,,0.811,0.020,"[0.772, 0.849]",,0.517,15.29,40,1600
by_rho,0.6,,,0.6,0.516,0.040,"[0.438, 0.594]",-0.084,0.198,14.20,17,680
by_rho,0.9,,,0.9,0.867,0.024,"[0.821, 0.913]",-0.033,0.597,16.09,23,920
by_typing,,forced,,,0.786,0.027,"[0.733, 0.839]",,0.478,14.89,23,920
by_typing,,passive,,,0.831,0.029,"[0.775, 0.887]",,0.554,15.82,17,680
by_distractor,,,animacy,,0.733,0.036,"[0.663, 0.803]",,0.384,15.81,17,680
by_distractor,,,size,,0.847,0.024,"[0.800, 0.894]",,0.573,14.90,23,920
by_rho_typing,0.6,forced,,0.6,0.513,0.050,"[0.414, 0.612]",-0.087,0.178,14.67,12,480
by_rho_typing,0.6,passive,,0.6,0.528,0.061,"[0.407, 0.648]",-0.072,0.272,13.08,5,200
by_rho_typing,0.9,forced,,0.9,0.869,0.033,"[0.804, 0.934]",-0.031,0.611,15.13,11,440
by_rho_typing,0.9,passive,,0.9,0.864,0.033,"[0.798, 0.929]",-0.036,0.582,16.96,12,480
by_rho_distractor,0.6,,animacy,0.6,0.548,0.060,"[0.430, 0.666]",-0.052,0.207,14.68,8,320
by_rho_distractor,0.6,,size,0.6,0.482,0.053,"[0.377, 0.586]",-0.118,0.186,13.78,9,360
by_rho_distractor,0.9,,animacy,0.9,0.792,0.046,"[0.701, 0.884]",-0.108,0.448,16.81,9,360
by_rho_distractor,0.9,,size,0.9,0.904,0.029,"[0.848, 0.960]",+0.004,0.641,15.62,14,560
by_typing_distractor,,forced,animacy,,0.759,0.056,"[0.648, 0.869]",,0.336,15.28,9,360
by_typing_distractor,,forced,size,,0.801,0.031,"[0.741, 0.861]",,0.551,14.64,14,560
by_typing_distractor,,passive,animacy,,0.709,0.047,"[0.617, 0.800]",,0.420,16.40,8,320
by_typing_distractor,,passive,size,,0.886,0.041,"[0.806, 0.965]",,0.570,15.31,9,360
by_rho_typing_distractor,0.6,forced,animacy,0.6,0.528,0.074,"[0.383, 0.672]",-0.072,0.177,15.13,6,240
by_rho_typing_distractor,0.6,forced,size,0.6,0.501,0.069,"[0.366, 0.636]",-0.099,0.181,14.21,6,240
by_rho_typing_distractor,0.6,passive,animacy,0.6,0.588,0.098,"[0.396, 0.780]",-0.012,0.315,13.31,2,80
by_rho_typing_distractor,0.6,passive,size,0.6,0.441,0.078,"[0.289, 0.593]",-0.159,0.215,12.93,3,120
by_rho_typing_distractor,0.9,forced,animacy,0.9,0.972,0.090,"[0.796, 1.147]",+0.072,0.499,15.57,3,120
by_rho_typing_distractor,0.9,forced,size,0.9,0.856,0.035,"[0.787, 0.925]",-0.044,0.652,14.97,8,320
by_rho_typing_distractor,0.9,passive,animacy,0.9,0.723,0.054,"[0.617, 0.828]",-0.177,0.431,17.43,6,240
by_rho_typing_distractor,0.9,passive,size,0.9,0.959,0.051,"[0.858, 1.060]",+0.059,0.594,16.50,6,240
