metric,rho,1. As-is,2. No outliers,"3. No outliers, MAE<=30"
n_participants,0.6 / 0.7,20 / 17,20 / 17,17 / 14
baseline overreaction: mean rho_excess,0.6,0.116 (p=0.1247),0.099 (p=0.0783*),0.199 (p=0.0003***)
baseline overreaction: mean rho_excess,0.7,-0.016 (p=0.5504),-0.087 (p=0.9585),-0.039 (p=0.8526)
post-switch gamma (x_match effect),0.6,0.180 (p=0.0606*),0.089 (p=0.1319),0.115 (p=0.0023***)
post-switch gamma (x_match effect),0.7,0.707 (p=0.1580),0.076 (p=0.1086),-0.006 (p=0.5636)
reinstatement decay: gamma_0,0.6,0.151 (p=0.1445),0.054 (p=0.3237),0.108 (p=0.0231**)
reinstatement decay: gamma_0,0.7,0.631 (p=0.1613),0.086 (p=0.0802*),0.009 (p=0.4321)
reinstatement decay: gamma_1 (decay of gamma_0 over p_t),0.6,0.325 (p=0.9147),-0.011 (p=0.3165),-0.008 (p=0.3514)
reinstatement decay: gamma_1 (decay of gamma_0 over p_t),0.7,-0.082 (p=0.2172),-0.004 (p=0.4081),-0.000 (p=0.4936)
gamma comparison: rho 0.7 - rho 0.6,--,0.526 (p=0.2287),-0.013 (p=0.5532),-0.121 (p=0.9860)
