metric,rho,1. As-is,2. No outliers,"3. No outliers, MAE<=30"
n_participants,0.6 / 0.7,20 / 17,20 / 17,17 / 14
baseline overreaction: mean rho_excess,0.6,0.116 (p=0.1247),0.099 (p=0.0783*),0.199 (p=0.0003***)
baseline overreaction: mean rho_excess,0.7,-0.016 (p=0.5504),-0.087 (p=0.9585),-0.039 (p=0.8526)
post-switch gamma (x_match effect),0.6,0.153 (p=0.0812*),0.085 (p=0.1664),0.106 (p=0.0033***)
post-switch gamma (x_match effect),0.7,0.691 (p=0.1605),0.080 (p=0.1078),-0.007 (p=0.5662)
reinstatement decay: gamma_0,0.6,0.132 (p=0.1719),0.046 (p=0.3486),0.107 (p=0.0259**)
reinstatement decay: gamma_0,0.7,0.569 (p=0.1601),0.090 (p=0.0830*),0.009 (p=0.4309)
reinstatement decay: gamma_1 (decay of gamma_0 over p_t),0.6,0.330 (p=0.9170),-0.006 (p=0.3960),-0.009 (p=0.3452)
reinstatement decay: gamma_1 (decay of gamma_0 over p_t),0.7,-0.049 (p=0.2468),-0.008 (p=0.3425),-0.002 (p=0.4638)
gamma comparison: rho 0.7 - rho 0.6,--,0.538 (p=0.2208),-0.005 (p=0.5188),-0.113 (p=0.9764)
